G65-T35-7F49_nimblegen-medexome_HYLKFDSXX	G65-B35-7F49_nimblegen-medexome_HYLKFDSXX	G65-T35-7F49	_nimblegen-medexome_HYLKFDSXX
G65-T36A-3A8B_nimblegen-medexome_HYLKFDSXX	G65-B36-3A8B_nimblegen-medexome_HYLKFDSXX	G65-T36A-3A8B	_nimblegen-medexome_HYLKFDSXX
G65-T36B-3A8B_nimblegen-medexome_HYLKFDSXX	G65-B36-3A8B_nimblegen-medexome_HYLKFDSXX	G65-T36B-3A8B	_nimblegen-medexome_HYLKFDSXX
G65-T37A-9CAE_nimblegen-medexome_HYLKFDSXX	G65-B37-9CAE_nimblegen-medexome_HYLKFDSXX	G65-T37A-9CAE	_nimblegen-medexome_HYLKFDSXX
G65-T37B-9CAE_nimblegen-medexome_HYLKFDSXX	G65-B37-9CAE_nimblegen-medexome_HYLKFDSXX	G65-T37B-9CAE	_nimblegen-medexome_HYLKFDSXX
G65-T38-DBD0_nimblegen-medexome_HYLKFDSXX	G65-B38-DBD0_nimblegen-medexome_HYLKFDSXX	G65-T38-DBD0	_nimblegen-medexome_HYLKFDSXX
G65-T39-7D1F_nimblegen-medexome_HYLKFDSXX	G65-B39-7D1F_nimblegen-medexome_HYLKFDSXX	G65-T39-7D1F	_nimblegen-medexome_HYLKFDSXX
G65-T4-413E_nimblegen-medexome_HYLKFDSXX	G65-B4-413E_nimblegen-medexome_HYLKFDSXX	G65-T4-413E	_nimblegen-medexome_HYLKFDSXX
G65-T5-F139_nimblegen-medexome_HYLKFDSXX	G65-B5-F139_nimblegen-medexome_HYLKFDSXX	G65-T5-F139	_nimblegen-medexome_HYLKFDSXX
G65-T6-3529_nimblegen-medexome_HYLKFDSXX	G65-B6-3529_nimblegen-medexome_HYLKFDSXX	G65-T6-3529	_nimblegen-medexome_HYLKFDSXX
G65-T7-C59D_nimblegen-medexome_HYLKFDSXX	G65-B7-C59D_nimblegen-medexome_HYLKFDSXX	G65-T7-C59D	_nimblegen-medexome_HYLKFDSXX
G65-T8-E0B8_nimblegen-medexome_HYLKFDSXX	G65-B8-E0B8_nimblegen-medexome_HYLKFDSXX	G65-T8-E0B8	_nimblegen-medexome_HYLKFDSXX
